canonical_product_id,product_code,item_id,category,name_nutrition,category_nutrition,match_confidence,match_method
be15d8872469475a,91268,423325,cantina-chicken-menu,Cantina Chicken Burrito,Cantina Chicken Menu,1.1,rule
f0876a996de16403,91266,423323,cantina-chicken-menu,Cantina Chicken Soft Taco,Cantina Chicken Menu,1.1,rule
a6458c80190c980f,91267,423320,cantina-chicken-menu,Cantina Chicken Crispy Taco,Cantina Chicken Menu,1.1,rule
95e7cb7a4fa3a4ba,91290,423321,cantina-chicken-menu,Cantina Chicken Quesadilla,Cantina Chicken Menu,1.1,rule
0d550bd0fd4a9d87,91270,423324,cantina-chicken-menu,Cantina Chicken Bowl,Cantina Chicken Menu,1.1,rule
f02e328c24e60125,91296,423320,cantina-chicken-menu,Cantina Chicken Crispy Taco,Cantina Chicken Menu,1.1,rule
260918bceb290e82,91295,423321,cantina-chicken-menu,Cantina Chicken Quesadilla,Cantina Chicken Menu,1.1,rule
7ebbea64bea55ec9,91305,719813,new,Flamin' Hot Grilled Cheese Burrito,New,1.1,rule
4420c3cdbcfba527,91287,646120,new,Crispy Chicken Burrito - Avocado Ranch,Test Items,1.0,rule
a67f9938f6539e0c,91286,646124,new,Crispy Chicken Soft Taco - Avocado Ranch,Test Items,0.833,rule
fb8c17048441b5b2,91294,646120,deals-and-combos,Crispy Chicken Burrito - Avocado Ranch,Test Items,0.8,rule
7a716ea25335ebfb,91293,166758,deals-and-combos,Quesadilla - Chicken,INM Quesadillas,1.0,rule
aca6c880e985abe0,91249,441180,specialties,3-Cheese Chicken Flatbread Melt,Specialties,1.1,rule
9a12538ab7bd3e3f,91251,166840,tacos,Spicy Potato Soft Taco,Veggie Cravings,1.1,rule
d855900f06d0a17a,91027,354902,tacos,Cheesy Gordita Crunch,Tacos,1.1,rule
5164b1d64fb61b74,91028,166811,tacos,Doritos&reg; Cheesy Gordita Crunch - Nacho Cheese,Tacos,0.857,rule
c8748992f40d1625,91245,277318,burritos,Grilled Cheese Burrito,Burritos,1.1,rule
f94a94884a539dbf,91248,384502,burritos,Black Bean Grilled Cheese Burrito,Burritos,0.833,rule
7c109b4f2ec47df9,91250,166744,burritos,Cheesy Bean & Rice Burrito,Veggie Cravings,1.0,rule
5d09d0887a04fddf,91169,166758,quesadillas,Quesadilla - Chicken,INM Quesadillas,1.0,rule
7ce2eeb5258363f0,91170,166846,quesadillas,Quesadilla - Steak,INM Quesadillas,1.0,rule
a4c80aed97dd379e,91161,166742,quesadillas,Cheese Quesadilla,Veggie Cravings,1.1,rule
bcf1a81a2c8ff1e9,5539,417120,sides-sweets,Avocado Ranch Sauce (6 oz),Side Portions - Hidden,0.7,rule_lo
ca9739abe704dbae,91243,166734,bowls,Veggie Bowl,Veggie Cravings,1.1,rule
ee1cf8f68865930b,27040,851888,new,Fajita Cheesy Street Chalupas - Steak,Test Items,0.7,rule_lo
1bb267d6cee18d67,27037,851888,new,Fajita Cheesy Street Chalupas - Steak,Test Items,0.7,rule_lo
25c3573bf3f8a758,23637,943688,new,Chicken Queso Burrito,Test Items,1.1,rule
5e8c42868688b58a,25500,658302,new,Chipotle Ranch Chicken Stacker,Test Items,1.1,rule
ba737df0090b6491,25501,829438,new,Beefy Potato Loaded Griller,Test Items,1.1,rule
201577446a2a6bad,25509,829440,new,Chips and Nacho Supreme Dip,Test Items,1.1,rule
5c2db193791a763b,25502,829439,new,Mini Taco Salad,Test Items,1.1,rule
